plant_name,latitude,longitude,capacity_mw,state,operator,date_start,date_end,plume_no2_mol_m2,background_no2_mol_m2,enhancement_mol_m2,enhancement_percent,estimated_nox_kg_hr,estimated_co2_kg_hr,estimated_co2_tons_day,detection_confidence,fuel_type
Vindhyachal,24.098,82.672,4760,Madhya Pradesh,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,14.623620356542087,16248467.06282454,438.7086106962626,95199.76852108899,2284.7944445061357,HIGH,coal
Mundra,22.839,69.717,4620,Gujarat,Adani Power,2026-01-01,2026-01-04,0.00015,9e-05,12.354952427862477,13727724.919847196,370.6485728358743,80430.74030538472,1930.3377673292332,HIGH,coal
Sasan,24.078,81.778,3960,Madhya Pradesh,Reliance Power,2026-01-01,2026-01-04,0.00015,9e-05,9.76638869138129,10851542.990423655,292.9916607414387,63579.19038089219,1525.9005691414127,HIGH,coal
Sipat,22.067,82.617,2980,Chhattisgarh,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,7.13812187787585,7931246.530973166,214.1436563362755,46469.173424971785,1115.2601621993228,HIGH,coal
Rihand,24.218,83.054,3000,Uttar Pradesh,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,5.587222368530925,6208024.853923249,167.61667105592772,36372.817619136316,872.9476228592716,HIGH,coal
Talcher,20.962,85.213,3000,Odisha,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,4.655994520336202,5173327.244818003,139.67983561008606,30310.524327388677,727.4525838573282,MEDIUM,coal
Chandrapur,19.945,79.299,2920,Maharashtra,MAHAGENCO,2026-01-01,2026-01-04,0.00015,9e-05,4.254211371356986,4726901.523729984,127.62634114070957,27694.91602753398,664.6779846608155,MEDIUM,coal
Anpara,24.201,82.648,2630,Uttar Pradesh,UPRVUNL,2026-01-01,2026-01-04,0.00015,9e-05,4.650685993004943,5167428.8811166035,139.5205797901483,30275.965814462183,726.6231795470924,MEDIUM,coal
Korba,22.35,82.68,2600,Chhattisgarh,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,4.080892009394568,4534324.454882853,122.42676028183703,26566.606981158635,637.5985675478072,MEDIUM,coal
Ramagundam,18.781,79.476,2600,Telangana,NTPC Limited,2026-01-01,2026-01-04,0.00015,9e-05,3.1248435466776274,3472048.385197364,93.74530640032883,20342.731488871355,488.2255557329125,LOW,coal
